iter	Passed	Remaining
0	1050	464494
1	2083	459431
2	3037	445537
3	3969	435636
4	4912	430324
5	5832	424778
6	6759	421019
7	7695	418460
8	8587	414093
9	9521	412289
10	10442	410103
11	11399	409415
12	12388	409789
13	13404	410760
14	14450	412315
15	15559	415246
16	16634	416837
17	17631	416304
18	18625	415636
19	19653	415667
20	20700	415974
21	21725	415753
22	22702	414560
23	23698	413731
24	24725	413402
25	25749	412987
26	26757	412270
27	27717	410807
28	28699	409704
29	29650	408186
30	30599	406676
31	31621	406137
32	32592	404936
33	33596	404140
34	34661	404051
35	35669	403262
36	36633	401975
37	37736	402194
38	38833	402272
39	39879	401789
40	40834	400375
41	41829	399375
42	42861	398707
43	43810	397285
44	44770	395971
45	45945	396532
46	47067	396569
47	48147	396211
48	49124	395001
49	50064	393507
50	51083	392644
51	52068	391518
52	53047	390350
53	54104	389751
54	55038	388270
55	55985	386897
56	56965	385766
57	58042	385279
58	59109	384715
59	60097	383619
60	61071	382446
61	62032	381196
62	63118	380711
63	64182	380080
64	65291	379696
65	66355	379030
66	67397	378230
67	68446	377464
68	69481	376608
69	70399	375127
70	71327	373716
71	72358	372848
72	73292	371484
73	74252	370257
74	75292	369436
75	76303	368464
76	77280	367330
77	78315	366478
78	79357	365648
79	80271	364231
80	81227	363014
81	82116	361511
82	83001	360008
83	83942	358753
84	84851	357375
85	85694	355730
86	86634	354504
87	87527	353094
88	88557	352239
89	89667	351696
90	90544	350237
91	91495	349073
92	92493	348093
93	93435	346905
94	94332	345554
95	95303	344483
96	96245	343307
97	97161	342047
98	98029	340628
99	99039	339704
100	100017	338671
101	100950	337490
102	102003	336710
103	102930	335513
104	103887	334419
105	104807	333210
106	105760	332106
107	106751	331126
108	107799	330322
109	108744	329199
110	109815	328458
111	110875	327677
112	111747	326343
113	112720	325306
114	113625	324080
115	114525	322842
116	115583	322051
117	116592	321124
118	117594	320173
119	118588	319200
120	119510	318035
121	120530	317132
122	121373	315768
123	122266	314539
124	123200	313422
125	124051	312096
126	125043	311131
127	126047	310195
128	127043	309238
129	127936	308030
130	128885	306964
131	129797	305810
132	130918	305147
133	131784	303891
134	132905	303220
135	133779	301988
136	134912	301338
137	135911	300383
138	136830	299255
139	137773	298180
140	138704	297083
141	139617	295950
142	140690	295155
143	141576	293968
144	142400	292658
145	143261	291428
146	144185	290333
147	145088	289197
148	145979	288039
149	146872	286891
150	148030	286257
151	148925	285113
152	149837	284005
153	150715	282835
154	151718	281902
155	152701	280931
156	153671	279936
157	154563	278800
158	155449	277659
159	156534	276870
160	157420	275729
161	158300	274583
162	159155	273395
163	160033	272252
164	161096	271422
165	162137	270554
166	163021	269425
167	164004	268459
168	164949	267433
169	165872	266371
170	166761	265258
171	167714	264248
172	168615	263156
173	169485	262020
174	170403	260960
175	171396	260015
176	172259	258875
177	173242	257916
178	174165	256870
179	175142	255901
180	176045	254827
181	177132	254020
182	178155	253116
183	179043	252023
184	180017	251051
185	181159	250311
186	182057	249234
187	182925	248117
188	183974	247246
189	184945	246269
190	185938	245321
191	186864	244286
192	187795	243258
193	188303	241688
194	188846	240174
195	189773	239152
196	190620	238034
197	191463	236911
198	192248	235721
199	193271	234824
200	194217	233834
201	195145	232821
202	196076	231814
203	196989	230786
204	198098	229987
205	199038	228991
206	200080	228111
207	200985	227075
208	201926	226080
209	202782	224992
210	203721	223997
211	204613	222951
212	205548	221953
213	206489	220963
214	207379	219918
215	208265	218871
216	209338	218020
217	210076	216822
218	211119	215940
219	212105	214998
220	212989	213953
221	213886	212923
222	214758	211869
223	215726	210911
224	216575	209838
225	217547	208883
226	218448	207862
227	219336	206830
228	220137	205718
229	221047	204709
230	221977	203719
231	222895	202719
232	223782	201691
233	224717	200708
234	225445	199542
235	226573	198731
236	227419	197672
237	228463	196785
238	229407	195812
239	230379	194862
240	231455	193999
241	232376	193006
242	233312	192027
243	234232	191033
244	235317	190174
245	236309	189239
246	237219	188239
247	238212	187304
248	239164	186336
249	239995	185276
250	240900	184274
251	241711	183202
252	242738	182293
253	243751	181374
254	244642	180363
255	245571	179382
256	246566	178448
257	247514	177481
258	248383	176457
259	249345	175500
260	250348	174572
261	251265	173584
262	252191	172602
263	253256	171715
264	254179	170731
265	255125	169763
266	255992	168743
267	257012	167825
268	257955	166855
269	258747	165789
270	259770	164872
271	260653	163866
272	261605	162904
273	262443	161872
274	263240	160816
275	264309	159926
276	265314	158997
277	266130	157954
278	267095	157002
279	267928	155972
280	268824	154980
281	269718	153988
282	270611	152995
283	271507	152006
284	272418	151025
285	273409	150088
286	274220	149053
287	275031	148020
288	275799	146965
289	276833	146053
290	277808	145109
291	278799	144173
292	279736	143209
293	280615	142216
294	281458	141206
295	282260	140176
296	283205	139218
297	284114	138243
298	285117	137314
299	286180	136412
300	287100	135442
301	287914	134423
302	288858	133466
303	289822	132517
304	290714	131536
305	291770	130629
306	292596	129619
307	293509	128648
308	294569	127742
309	295453	126759
310	296488	125840
311	297555	124935
312	298594	124016
313	299596	123082
314	300413	122072
315	301302	121092
316	302408	120200
317	303408	119264
318	304322	118294
319	305380	117380
320	306198	116374
321	307118	115407
322	307917	114396
323	308952	113473
324	309888	112513
325	310842	111559
326	311818	110614
327	312815	109676
328	313623	108671
329	314514	107697
330	315455	106740
331	316303	105752
332	317228	104790
333	318136	103823
334	318890	102806
335	319795	101839
336	320714	100877
337	321682	99930
338	322645	98982
339	323527	98009
340	324475	97057
341	325327	96076
342	326123	95079
343	327094	94134
344	328050	93185
345	328627	92129
346	329318	91108
347	329962	90075
348	331677	89334
349	332485	88346
350	333289	87357
351	334410	86452
352	335470	85530
353	336306	84551
354	337103	83563
355	338062	82616
356	338997	81663
357	339968	80718
358	340925	79770
359	341983	78846
360	342922	77893
361	343838	76936
362	344833	75996
363	345695	75027
364	346526	74052
365	347493	73106
366	348509	72170
367	349367	71202
368	350242	70238
369	351243	69299
370	352084	68328
371	353089	67390
372	354051	66444
373	354893	65475
374	355671	64495
375	356507	63526
376	357665	62615
377	358612	61666
378	359557	60716
379	360405	59751
380	361322	58797
381	362251	57846
382	363428	56933
383	364323	55976
384	365165	55011
385	366153	54069
386	367094	53119
387	368094	52178
388	368974	51220
389	370008	50283
390	370799	49313
391	371729	48362
392	372532	47395
393	373577	46460
394	374607	45521
395	375470	44563
396	376283	43599
397	377370	42667
398	378489	41738
399	379395	40784
400	380206	39822
401	381067	38865
402	382083	37923
403	383051	36977
404	383969	36026
405	384817	35069
406	385691	34115
407	386546	33159
408	387352	32200
409	388218	31246
410	389068	30292
411	390069	29349
412	391029	28404
413	391878	27450
414	392819	26503
415	393677	25551
416	394551	24600
417	395510	23654
418	396520	22712
419	397500	21767
420	398635	20831
421	399460	19878
422	400011	18913
423	400582	17950
424	401656	17011
425	402449	16060
426	403238	15109
427	404179	14165
428	405038	13218
429	405957	12273
430	406687	11323
431	407606	10378
432	408555	9435
433	409423	8490
434	410414	7547
435	411358	6604
436	412220	5659
437	413221	4717
438	414084	3772
439	414921	2829
440	415844	1885
441	416757	942
442	417722	0
